game,strategy,trainThroughDraw,targetDraw,ticket,actual,bonus,mainMatches,bonusMatches,prizeTier,payoutYen
loto6,balance,328,329,4 11 17 30 36 39,6 8 15 17 39 40,37,2,0,,0
loto6,frequent,328,329,1 11 18 31 36 39,6 8 15 17 39 40,37,1,0,,0
loto6,overdue,328,329,4 17 26 30 32 34,6 8 15 17 39 40,37,1,0,,0
loto6,high_payout,328,329,4 17 22 34 36 39,6 8 15 17 39 40,37,2,0,,0
loto6,random,328,329,11 17 20 34 35 36,6 8 15 17 39 40,37,1,0,,0
loto6,sougaku_delete,328,329,11 17 22 30 36 39,6 8 15 17 39 40,37,2,0,,0
loto6,mixed,328,329,1 17 30 31 36 39,6 8 15 17 39 40,37,2,0,,0
loto6,balance,329,330,11 17 18 30 31 36,5 12 16 19 28 39,34,0,0,,0
loto6,frequent,329,330,1 3 17 31 36 39,5 12 16 19 28 39,34,1,0,,0
loto6,overdue,329,330,4 16 26 30 32 34,5 12 16 19 28 39,34,1,1,,0
loto6,high_payout,329,330,33 34 36 37 38 41,5 12 16 19 28 39,34,0,1,,0
loto6,random,329,330,4 12 27 30 36 38,5 12 16 19 28 39,34,1,0,,0
loto6,sougaku_delete,329,330,11 13 18 23 30 36,5 12 16 19 28 39,34,0,0,,0
loto6,mixed,329,330,6 17 26 30 31 36,5 12 16 19 28 39,34,0,0,,0
loto6,balance,330,331,1 11 22 30 36 39,2 8 17 24 32 38,35,0,0,,0
loto6,frequent,330,331,1 17 30 31 36 39,2 8 17 24 32 38,35,1,0,,0
loto6,overdue,330,331,4 20 26 30 32 34,2 8 17 24 32 38,35,1,0,,0
loto6,high_payout,330,331,4 17 26 34 37 39,2 8 17 24 32 38,35,1,0,,0
loto6,random,330,331,8 13 26 33 37 41,2 8 17 24 32 38,35,1,0,,0
loto6,sougaku_delete,330,331,11 17 18 20 36 39,2 8 17 24 32 38,35,1,0,,0
loto6,mixed,330,331,13 22 34 36 39 41,2 8 17 24 32 38,35,0,0,,0
loto6,balance,331,332,1 11 17 30 36 39,7 8 16 24 26 34,19,0,0,,0
loto6,frequent,331,332,1 3 17 31 36 39,7 8 16 24 26 34,19,0,0,,0
loto6,overdue,331,332,4 11 20 26 30 34,7 8 16 24 26 34,19,2,0,,0
loto6,high_payout,331,332,11 13 22 34 36 37,7 8 16 24 26 34,19,1,0,,0
loto6,random,331,332,13 15 20 28 34 35,7 8 16 24 26 34,19,1,0,,0
loto6,sougaku_delete,331,332,15 17 22 30 36 39,7 8 16 24 26 34,19,0,0,,0
loto6,mixed,331,332,3 7 12 17 33 36,7 8 16 24 26 34,19,1,0,,0
loto6,balance,332,333,4 11 17 22 30 39,1 5 7 15 41 42,38,0,0,,0
loto6,frequent,332,333,1 11 17 31 36 39,1 5 7 15 41 42,38,1,0,,0
loto6,overdue,332,333,4 20 25 30 35 41,1 5 7 15 41 42,38,1,0,,0
loto6,high_payout,332,333,4 17 20 33 36 39,1 5 7 15 41 42,38,0,0,,0
loto6,random,332,333,1 11 13 15 17 25,1 5 7 15 41 42,38,2,0,,0
loto6,sougaku_delete,332,333,11 17 22 30 36 39,1 5 7 15 41 42,38,0,0,,0
loto6,mixed,332,333,1 17 30 31 36 39,1 5 7 15 41 42,38,1,0,,0
loto6,balance,333,334,11 17 22 30 36 39,11 14 17 18 34 36,23,3,0,5,1000
loto6,frequent,333,334,1 11 17 31 36 39,11 14 17 18 34 36,23,3,0,5,1000
loto6,overdue,333,334,4 11 20 27 30 37,11 14 17 18 34 36,23,1,0,,0
loto6,high_payout,333,334,4 11 23 33 36 39,11 14 17 18 34 36,23,2,1,,0
loto6,random,333,334,3 12 13 30 37 38,11 14 17 18 34 36,23,0,0,,0
loto6,sougaku_delete,333,334,15 17 20 30 36 39,11 14 17 18 34 36,23,2,0,,0
loto6,mixed,333,334,4 11 17 18 36 39,11 14 17 18 34 36,23,4,0,4,10400
loto6,balance,334,335,11 17 20 30 36 39,4 5 10 23 36 42,8,1,0,,0
loto6,frequent,334,335,1 17 30 31 36 39,4 5 10 23 36 42,8,1,0,,0
loto6,overdue,334,335,4 9 20 22 30 35,4 5 10 23 36 42,8,1,0,,0
loto6,high_payout,334,335,4 20 23 36 39 41,4 5 10 23 36 42,8,3,0,5,1000
loto6,random,334,335,1 8 19 30 31 38,4 5 10 23 36 42,8,0,1,,0
loto6,sougaku_delete,334,335,13 17 20 22 36 39,4 5 10 23 36 42,8,1,0,,0
loto6,mixed,334,335,4 11 17 20 30 39,4 5 10 23 36 42,8,1,0,,0
loto6,balance,335,336,11 17 20 30 31 36,3 6 13 17 20 29,11,2,1,,0
loto6,frequent,335,336,1 17 30 31 36 39,3 6 13 17 20 29,11,1,0,,0
loto6,overdue,335,336,13 20 22 27 30 37,3 6 13 17 20 29,11,2,0,,0
loto6,high_payout,335,336,20 22 33 36 37 39,3 6 13 17 20 29,11,1,0,,0
loto6,random,335,336,7 18 28 36 41 43,3 6 13 17 20 29,11,0,0,,0
loto6,sougaku_delete,335,336,11 15 17 22 30 36,3 6 13 17 20 29,11,1,1,,0
loto6,mixed,335,336,13 20 22 30 33 35,3 6 13 17 20 29,11,2,0,,0
loto6,balance,336,337,17 22 30 31 36 39,5 15 16 20 34 39,29,1,0,,0
loto6,frequent,336,337,1 11 17 31 36 39,5 15 16 20 34 39,29,1,0,,0
loto6,overdue,336,337,9 22 25 30 35 37,5 15 16 20 34 39,29,0,0,,0
loto6,high_payout,336,337,22 27 30 33 36 39,5 15 16 20 34 39,29,1,0,,0
loto6,random,336,337,1 3 6 30 32 42,5 15 16 20 34 39,29,0,0,,0
