"回号","抽せん日","販売実績額","キャリーオーバー","1等口数","1等当せん金額"
"280","2006-03-02","","149238699","1","200000000"
"281","2006-03-09","","0","16","35304900"
"282","2006-03-16","","171519931","1","200000000"
"283","2006-03-23","","569155297","0","0"
"284","2006-03-30","","0","6","215518000"
"285","2006-04-06","","0","7","52459200"
"286","2006-04-13","","0","5","75107400"
"287","2006-04-20","","396114792","0","0"
"288","2006-04-27","","0","11","81646100"
"289","2006-05-04","","0","3","107375300"
"290","2006-05-11","","165935026","1","200000000"
"291","2006-05-18","","0","2","321480300"
"292","2006-05-25","","0","6","58877300"
"293","2006-06-01","","150000456","1","200000000"
"294","2006-06-08","","0","3","192565900"
"295","2006-06-15","","0","2","178474100"
"296","2006-06-22","","0","4","86071800"
"297","2006-06-29","","345952300","0","0"
"298","2006-07-06","","0","5","175332300"
"299","2006-07-13","","151330859","1","200000000"
"300","2006-07-20","","148357187","1","400000000"
"301","2006-07-27","","0","28","18472800"
"302","2006-08-03","","0","2","177884000"
"303","2006-08-10","","341285528","0","0"
"304","2006-08-17","","0","7","105413200"
"305","2006-08-24","","156982123","1","200000000"
"306","2006-08-31","","621967283","0","0"
"307","2006-09-07","","0","6","251095100"
"308","2006-09-14","","393902973","0","0"
"309","2006-09-21","","183009018","2","400000000"
"310","2006-09-28","","236306765","1","400000000"
"311","2006-10-05","","373090476","1","400000000"
"312","2006-10-12","","0","10","89457600"
"313","2006-10-19","","0","3","143877200"
"314","2006-10-26","","0","4","100991800"
"315","2006-11-02","","0","5","80557100"
"316","2006-11-09","","0","4","97231600"
"317","2006-11-16","","0","7","54347200"
"318","2006-11-23","","351468038","0","0"
"319","2006-11-30","","0","7","122102000"
"320","2006-12-07","","0","4","91305900"
"321","2006-12-14","","4972560","2","200000000"
"322","2006-12-21","","0","3","144517000"
"323","2006-12-28","","0","8","45430600"
"324","2007-01-04","","0","4","64827500"
"325","2007-01-11","","0","5","71887400"
"326","2007-01-18","","0","6","60713700"
"327","2007-01-25","","0","6","61984500"
"328","2007-02-01","","0","7","49885200"
"329","2007-02-08","","0","5","71021800"
