"回号","抽せん日","本数字1","本数字2","本数字3","本数字4","本数字5","本数字6","本数字7","ボーナス数字1","ボーナス数字2","販売実績額","キャリーオーバー","1等口数","1等当せん金額","2等口数","2等当せん金額","3等口数","3等当せん金額","4等口数","4等当せん金額","5等口数","5等当せん金額","6等口数","6等当せん金額","データソース","取得日時","検証状態"
"240","2017-11-24","9","12","14","24","29","31","35","5","30","","211619725","0","0","7","10047300","91","1082000","4401","13100","71616","1900","124083","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"241","2017-12-01","5","11","12","19","21","26","28","4","20","","455355365","0","0","13","6352500","123","939900","5635","12000","8696","1900","145057","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"242","2017-12-08","1","5","13","17","31","32","35","19","24","","721477315","0","0","9","10182000","95","1350400","5229","14300","83427","2200","150343","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"243","2017-12-15","6","9","13","18","20","22","30","11","14","","0","2","517917800","11","9559600","128","1150100","6642","13000","105269","2000","180325","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"244","2017-12-22","2","9","17","22","32","34","36","11","12","","0","1","228504900","7","10852200","109","975600","4719","13200","72293","2100","129238","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"245","2017-12-29","2","8","9","11","24","26","27","7","36","","0","2","117494400","12","6681100","157","714900","6149","10700","93255","1700","160222","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"246","2018-01-05","3","6","9","19","23","25","31","21","36","","0","1","190480600","8","7775400","102","853700","4759","10700","70956","1700","118023","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"247","2018-01-12","10","12","13","16","34","35","36","11","37","","215130950","0","0","8","8744900","75","1305800","3817","15000","62163","2200","117489","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"248","2018-01-19","1","5","6","22","25","27","31","12","18","","0","1","486799200","12","7244300","89","1367400","5288","13500","84474","2000","158212","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"249","2018-01-26","9","20","28","29","31","34","37","5","25","","213193135","0","0","3","24094600","99","1022100","3503","16900","60041","2400","106364","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"250","2018-02-02","5","9","10","13","26","30","34","18","23","","0","1","474586400","15","5711200","110","1090300","5706","12300","87003","1900","147994","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"251","2018-02-09","1","15","20","26","28","34","37","23","30","","0","1","312906800","2","25915900","76","954700","3459","12300","59358","1700","105067","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"252","2018-02-16","8","23","24","25","27","30","31","11","17","","0","1","316752000","4","12826500","83","865300","4412","9500","70825","1400","131904","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"253","2018-02-23","6","7","9","12","15","17","24","26","29","","0","1","309164300","4","12622700","98","721200","5391","7600","80979","1200","133405","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"254","2018-03-02","1","12","14","18","23","24","31","7","26","","301344395","0","0","3","16800700","59","1195900","3838","10700","65858","1500","125175","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"255","2018-03-09","1","4","11","13","15","21","32","5","10","","0","2","334468400","5","12119600","83","1022100","4473","11100","80800","1500","142503","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"256","2018-03-16","14","21","24","27","30","33","37","19","20","","0","1","305471000","3","17000400","77","927200","3497","11900","59453","1700","104129","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"257","2018-03-23","5","15","16","26","27","32","35","23","28","","0","1","303266300","11","4621500","84","847200","4241","9800","66571","1500","126574","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"258","2018-03-30","1","3","11","20","23","32","35","25","26","","0","1","305996000","5","10008900","79","886800","3736","11000","61830","1600","105761","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"259","2018-04-06","5","6","15","19","22","29","32","4","31","","296865915","0","0","8","6022100","64","1053800","3432","11500","58886","1600","110818","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"260","2018-04-13","4","8","12","23","29","31","34","5","6","","0","2","333667500","4","14811100","163","508800","6620","7300","93834","1200","149269","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"261","2018-04-20","4","14","15","17","21","23","26","7","8","","299962625","0","0","7","7013900","56","1227400","3805","10500","63451","1500","129577","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"262","2018-04-27","2","6","7","9","19","23","36","5","15","","641103540","0","0","14","4083500","149","537100","6334","7400","95239","1200","155703","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"263","2018-05-04","1","5","11","16","27","35","36","6","14","","1007154715","0","0","6","10029000","121","696200","5583","8800","85611","1400","141147","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"264","2018-05-11","8","13","15","17","21","26","29","4","24","","1449029430","0","0","23","3183500","196","523000","8103","7400","112727","1300","193807","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"265","2018-05-18","12","13","15","19","21","24","36","10","37","","0","2","973273800","9","9164300","166","695500","6858","9800","115664","1400","181981","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"266","2018-05-25","6","11","15","17","20","27","32","16","22","","313999575","0","0","3","17184400","84","859200","3986","10600","65358","1600","107711","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"267","2018-06-01","8","13","18","20","23","25","26","6","28","","718966520","0","0","10","6591600","82","1125300","4991","10800","84759","1500","154705","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"268","2018-06-08","4","5","9","15","29","31","33","26","27","","173451955","1","1000000000","6","12371700","135","769700","6894","8800","108858","1300","197196","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"269","2018-06-15","1","9","15","24","31","33","36","2","26","","0","1","541546300","5","12376300","125","693000","5556","9100","87230","1400","140545","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"270","2018-06-22","1","2","11","13","15","24","25","26","28","","326590330","0","0","8","6633500","69","1076700","4512","9600","74459","1400","135756","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"271","2018-06-29","1","9","15","16","19","32","35","14","31","","709520700","0","0","8","7961400","88","1013200","4611","11300","76077","1600","132456","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"272","2018-07-06","2","5","8","15","18","26","31","19","25","","0","2","565988400","8","8794000","147","670000","8328","6900","108405","1300","169711","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"273","2018-07-13","13","15","21","23","26","32","34","5","9","","0","2","163912900","396","131500","190","383700","7181","5900","81640","1200","146385","800","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"274","2018-07-20","9","14","21","23","25","26","37","7","29","","297380135","0","0","5","9848700","54","1276600","4093","9800","70124","1400","117691","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"275","2018-07-27","8","9","15","19","24","25","35","34","37","","659517715","0","0","14","4188400","133","617200","6531","7300","94999","1200","135106","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"276","2018-08-03","3","6","12","17","22","34","35","2","33","","65883635","1","1000000000","7","9668700","159","595900","6399","8600","94774","1400","151327","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"277","2018-08-10","6","7","9","11","21","23","25","1","22","","391610110","0","0","12","4532500","129","590200","5833","7600","90448","1200","147333","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"278","2018-08-17","6","9","14","21","23","33","36","27","28","","774981360","0","0","5","12638600","142","623000","6793","7600","103978","1200","167042","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"279","2018-08-24","7","11","15","17","19","23","31","9","37","","1208286110","0","0","12","5937600","185","539100","8548","6800","117304","1200","210604","800","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"280","2018-08-31","4","9","10","11","24","32","35","2","37","","1693217310","0","0","6","13162000","173","639000","7531","8600","116457","1300","186330","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"281","2018-09-07","1","2","17","19","20","22","26","30","36","","1188572470","1","1000000000","4","20471100","96","1194100","5111","13100","89508","1800","163932","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"282","2018-09-14","10","17","18","25","29","35","36","7","14","","658065950","1","1000000000","8","9824400","112","982400","5643","11400","97856","1600","175263","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"283","2018-09-21","13","14","15","17","23","29","31","10","19","","1074137170","0","0","5","13780800","117","824400","6559","8600","102728","1300","152967","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"284","2018-09-28","6","7","10","25","29","30","33","1","31","","1531893985","0","0","9","8583600","124","872100","6317","10000","103248","1500","174824","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"285","2018-10-05","11","15","21","26","30","34","35","4","36","","2025575125","0","0","11","7307100","114","987000","6824","9600","110319","1400","189588","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"286","2018-10-12","4","5","14","17","18","29","37","27","31","","2563226520","0","0","12","7365100","151","819400","7138","10100","114717","1500","211324","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"287","2018-10-19","2","7","10","20","24","29","34","4","8","","3182905730","0","0","5","20004100","139","1007300","7135","11500","120517","1600","229390","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"288","2018-10-26","1","8","9","16","27","32","37","17","31","","1856070345","2","1000000000","16","6898600","253","610700","11152","8100","159113","1400","254099","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"289","2018-11-02","2","7","10","12","16","17","34","23","25","","1431007375","1","1000000000","10","9272400","116","1119000","8151","9300","126863","1400","237336","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"290","2018-11-09","3","13","22","26","31","32","37","29","35","","1958591280","0","0","7","12685700","135","920800","8993","8100","117753","1500","200734","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"291","2018-11-16","1","11","18","19","21","29","37","5","15","","1511981740","1","1000000000","11","8279400","147","867300","6914","10800","112385","1600","215531","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"292","2018-11-23","12","15","25","26","27","29","35","24","30","","2011587545","0","0","7","11727300","123","934300","6641","10100","115238","1400","194454","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"293","2018-11-30","11","13","15","20","27","29","35","1","7","","0","3","847890100","13","6877200","193","648500","8255","8800","127142","1400","221913","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"294","2018-12-07","3","4","6","10","14","22","29","28","32","","362900105","0","0","6","9858900","117","707800","5538","8700","86288","1300","141461","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"295","2018-12-14","4","5","6","8","9","22","32","13","26","","786597795","0","0","7","10043600","85","1157900","5550","10400","91904","1500","170758","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"296","2018-12-21","1","8","10","12","18","28","29","25","27","","262288165","1","1000000000","14","5696500","181","616800","8342","7800","120593","1300","198645","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"297","2018-12-28","2","3","11","16","23","28","36","8","24","","723867455","0","0","29","2601200","216","488900","9573","6400","127018","1200","215516","800","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"298","2019-01-04","1","3","8","11","18","19","22","26","30","","1078420555","0","0","10","5834900","147","555700","6553","7300","92747","1200","141991","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"299","2019-01-11","1","6","10","13","16","26","36","28","30","","1578585130","0","0","11","7533500","207","560400","7616","8900","105706","1500","186101","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"300","2019-01-18","4","7","21","31","33","34","35","6","12","","1097825350","1","1000000000","4","21689100","172","706100","7409","9600","114350","1500","193635","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"301","2019-01-25","4","11","12","25","27","30","33","5","19","","1614973255","0","0","20","4144500","196","592000","8211","8200","122132","1300","209123","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"302","2019-02-01","8","16","26","27","28","32","34","4","25","","2150226005","0","0","10","8611300","145","831400","7315","9600","116603","1400","198947","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"303","2019-02-08","4","7","14","17","21","34","37","10","30","","2711152345","0","0","11","8300300","328","389700","9335","8000","126257","1400","194195","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"304","2019-02-15","7","9","10","17","28","33","36","18","23","","3299321575","0","0","14","6958200","167","816600","7790","10200","132072","1400","242136","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"305","2019-02-22","6","17","23","24","27","28","31","10","18","","2940077565","1","1000000000","15","7062900","187","793100","9402","9200","154534","1300","262362","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"306","2019-03-01","12","13","15","22","25","33","35","1","31","","3531756965","0","0","8","12306100","186","741000","8831","9100","135005","1400","222934","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"307","2019-03-08","5","8","15","24","25","32","35","20","26","","1171937610","3","1000000000","21","4932300","297","488200","13086","6500","162254","1200","244004","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"308","2019-03-15","5","6","11","15","20","32","33","13","25","","1705667655","0","0","4","21951800","133","924200","6761","10600","110187","1600","205005","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"309","2019-03-22","1","7","13","14","16","21","22","18","34","","2243542325","0","0","9","9861900","126","986100","6832","10600","117028","1500","211539","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"310","2019-03-29","17","25","26","28","31","32","37","6","9","","0","3","933583800","7","12983500","110","1156600","6651","11200","115353","1500","216558","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"311","2019-04-05","9","11","18","24","26","27","37","30","33","","369634875","0","0","8","7563000","107","791600","5650","8700","88259","1300","146370","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"312","2019-04-12","1","2","4","18","20","29","34","17","30","","0","1","793630300","8","8697900","97","1004200","5040","11300","83581","1600","152043","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"313","2019-04-19","9","13","16","23","28","29","30","1","20","","367344040","0","0","5","12035500","127","663300","5448","9000","89097","1300","130932","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"314","2019-04-26","3","6","8","19","32","34","35","12","30","","806994855","0","0","13","5485700","108","924400","5553","10500","97779","1400","166517","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"315","2019-05-03","3","11","18","26","30","33","37","28","31","","0","3","413815400","5","14069200","159","619300","6455","8900","98226","1400","161077","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"316","2019-05-10","3","9","10","17","30","33","34","6","8","","0","1","348691900","12","4827400","135","600700","5666","8300","82071","1400","140345","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"317","2019-05-17","7","8","14","15","16","20","29","18","19","","340388440","0","0","4","14232400","76","1048600","4620","10100","75217","1500","116545","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"318","2019-05-24","4","5","10","12","27","34","36","3","14","","0","2","376602400","7","9773600","140","684100","6908","8100","105569","1300","162780","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"319","2019-05-31","2","6","14","23","28","31","35","19","27","","0","1","348796200","30","1908100","226","354600","7223","6500","94033","1200","149658","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"320","2019-06-07","5","6","18","22","26","33","34","36","37","","0","1","333152300","7","7832200","121","634300","5868","7600","79530","1300","122679","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"321","2019-06-14","15","24","27","28","29","34","35","9","25","","352790235","0","0","9","6392100","86","936500","4828","9700","82937","1400","145249","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"322","2019-06-21","1","10","11","21","26","29","30","14","20","","0","2","389402400","13","5354100","147","662800","7713","7400","101277","1300","152176","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"323","2019-06-28","11","14","15","21","26","34","36","23","27","","0","1","355424900","6","9655800","103","787400","4826","9800","77359","1500","146957","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"324","2019-07-05","9","13","16","17","18","19","20","30","36","","331147175","0","0","2","27594700","97","796500","4121","10900","63156","1700","113947","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"325","2019-07-12","4","14","17","18","21","31","33","6","20","","725726100","0","0","5","13191000","97","951900","4977","10800","80144","1600","137151","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"326","2019-07-19","1","2","17","18","24","27","29","12","32","","0","2","584295200","5","14430500","103","980600","5032","11700","90286","1600","164592","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"327","2019-07-26","1","3","13","14","16","30","31","2","17","","0","1","325927600","5","10812400","95","796600","4617","9600","68651","1500","111898","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"328","2019-08-02","3","9","10","14","19","24","30","18","21","","0","1","319467200","5","10642200","114","653400","4490","9700","73061","1400","120577","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"329","2019-08-09","3","10","19","20","26","28","30","15","25","","305395695","0","0","4","12892800","89","811200","4430","9500","69036","1500","116797","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"330","2019-08-16","3","4","10","12","17","18","20","19","32","","0","1","674889600","4","15358000","120","716600","5435","9200","84712","1400","138394","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"331","2019-08-23","5","7","11","12","15","18","20","19","30","","331931710","0","0","6","8872000","126","591400","4999","8700","78083","1300","134724","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"332","2019-08-30","5","7","10","15","24","27","30","3","33","","732637115","0","0","10","6623100","149","622300","7242","7500","107919","1200","177475","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"333","2019-09-06","1","4","10","11","16","24","34","30","32","","1200001505","0","0","8","9777700","163","671800","7178","8900","109222","1400","177114","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"334","2019-09-13","3","7","15","16","30","34","35","8","29","","1728403925","0","0","7","12684700","194","640700","8126","8900","127766","1400","218183","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"335","2019-09-20","9","10","17","18","22","25","35","13","14","","2302853520","0","0","9","10528600","195","680200","8483","9100","132338","1400","227897","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"336","2019-09-27","9","10","13","21","25","31","33","24","37","","2927369975","0","0","6","17333900","181","804400","8759","9700","142505","1400","236100","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"337","2019-10-04","5","7","10","12","14","24","35","11","33","","2584013245","1","1000000000","15","7307200","248","618700","11324","7900","170249","1300","293615","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"338","2019-10-11","7","9","16","17","23","27","34","15","36","","2170574545","1","1000000000","19","5112700","194","701000","9853","8000","148918","1300","258463","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"339","2019-10-18","11","15","18","20","23","25","32","9","37","","1731734285","1","1000000000","11","8388400","145","890800","7414","10200","120717","1500","219031","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"340","2019-10-25","6","14","17","26","27","30","36","12","28","","1251961575","1","1000000000","10","8665400","138","879000","7307","9700","115794","1500","208956","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"341","2019-11-01","4","11","17","27","29","31","36","19","24","","783163535","1","1000000000","28","3169000","160","776300","7811","9300","124104","1400","219507","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"342","2019-11-08","3","6","24","28","32","35","36","4","8","","1299561660","0","0","6","13918200","160","730600","7572","9000","118568","1400","208744","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"343","2019-11-15","17","19","22","29","30","31","32","11","16","","1816792475","0","0","7","12200200","86","1390200","5697","12300","97660","1700","187577","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"344","2019-11-22","11","19","28","29","31","32","37","12","21","","2330925355","0","0","9","9436100","128","928800","7088","9800","112169","1500","184062","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"345","2019-11-29","6","9","10","18","28","31","32","24","35","","1876447595","1","1000000000","13","6971600","166","764300","7785","9500","127276","1400","220771","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"346","2019-12-06","11","16","18","23","30","31","35","3","27","","1393851380","1","1000000000","8","10549100","152","777200","7411","9300","116307","1400","221320","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"347","2019-12-13","3","6","11","13","18","20","34","25","35","","1907271955","0","0","3","28386700","138","863900","6617","10500","114754","1500","201919","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"348","2019-12-20","2","5","17","18","19","20","33","1","24","","2471218605","0","0","8","11401900","157","813300","8482","8800","124300","1400","212396","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"349","2019-12-27","4","10","11","15","18","22","34","16","32","","1114611465","2","1000000000","12","8744800","235","625100","10738","8000","158812","1300","243446","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"350","2020-01-10","10","19","21","23","24","30","37","2","28","","1683375425","0","0","5","18728900","121","1083400","6766","11300","112411","1600","206560","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"351","2020-01-17","8","13","17","19","23","25","28","5","16","","1225967125","1","1000000000","17","5252200","191","654400","8478","8600","130438","1300","218272","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"352","2020-01-24","3","4","14","18","26","30","32","28","34","","0","2","886941800","13","6928800","167","755100","7868","9400","121713","1500","207726","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"353","2020-01-31","11","15","22","23","24","29","33","19","34","","0","1","386956000","6","10732300","132","682900","6959","7600","97058","1300","157583","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"354","2020-02-07","1","2","8","10","13","25","31","23","35","","372868110","0","0","8","7729100","127","681600","6239","8100","91415","1300","138711","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"355","2020-02-14","4","6","9","10","23","27","33","14","31","","0","1","798697400","12","5911600","153","649100","6515","8900","106580","1300","174779","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"356","2020-02-21","4","16","20","30","33","34","36","19","21","","0","1","359572000","6","9961300","70","1195300","3631","13500","65274","1800","121276","1200","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"357","2020-02-28","5","8","12","13","14","24","30","27","35","","371973830","0","0","10","5953800","105","793800","5414","9000","86659","1300","150754","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"358","2020-03-06","5","13","14","26","32","33","34","8","11","","801365640","0","0","7","10038100","119","826600","5902","9700","88702","1600","161037","1000","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"359","2020-03-13","4","7","11","17","19","26","35","1","24","","290916085","1","1000000000","12","6601900","174","637400","8048","8000","124609","1200","207525","900","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"360","2020-03-20","9","11","13","14","20","22","37","15","17","","707367235","0","0","8","8665100","88","1102800","4676","12100","81988","1700","151412","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
"361","2020-03-27","5","9","16","20","29","33","35","2","8","","188195440","1","1000000000","7","11398400","110","1015400","5816","11200","97576","1600","176827","1100","sougaku:data\raw\loto7\extracted\loto7.csv","2026-06-24T23:20:30.050Z","processed"
