game,drawNumber,drawDate,mainNumbers,bonusNumbers,salesAmount,carryoverAmount,prizeTiers
"loto6","29","2001-04-19","8 12 20 35 37 40","33","","0","[{""tier"":1,""winners"":9,""prizeYen"":57338900},{""tier"":2,""winners"":96,""prizeYen"":2606200},{""tier"":3,""winners"":1729,""prizeYen"":173600},{""tier"":4,""winners"":54200,""prizeYen"":4800},{""tier"":5,""winners"":607285,""prizeYen"":1000}]"
"loto6","30","2001-04-26","4 16 17 19 26 37","8","","258064512","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":7,""prizeYen"":33179400},{""tier"":3,""winners"":370,""prizeYen"":753200},{""tier"":4,""winners"":23254,""prizeYen"":10500},{""tier"":5,""winners"":384916,""prizeYen"":1000}]"
"loto6","31","2001-05-03","7 18 22 25 28 43","4","","0","[{""tier"":1,""winners"":3,""prizeYen"":176674900},{""tier"":2,""winners"":18,""prizeYen"":13597800},{""tier"":3,""winners"":494,""prizeYen"":594500},{""tier"":4,""winners"":26667,""prizeYen"":9700},{""tier"":5,""winners"":417742,""prizeYen"":1000}]"
"loto6","32","2001-05-10","3 6 7 23 29 41","33","","0","[{""tier"":1,""winners"":2,""prizeYen"":122160100},{""tier"":2,""winners"":15,""prizeYen"":14659000},{""tier"":3,""winners"":409,""prizeYen"":645100},{""tier"":4,""winners"":23377,""prizeYen"":9900},{""tier"":5,""winners"":380930,""prizeYen"":1000}]"
"loto6","33","2001-05-17","8 17 22 25 29 41","13","","0","[{""tier"":1,""winners"":2,""prizeYen"":117951800},{""tier"":2,""winners"":38,""prizeYen"":5587100},{""tier"":3,""winners"":670,""prizeYen"":380200},{""tier"":4,""winners"":26279,""prizeYen"":8500},{""tier"":5,""winners"":362887,""prizeYen"":1000}]"
"loto6","34","2001-05-24","2 20 25 30 37 40","10","","41176145","[{""tier"":1,""winners"":1,""prizeYen"":200000000},{""tier"":2,""winners"":23,""prizeYen"":9437200},{""tier"":3,""winners"":254,""prizeYen"":1025400},{""tier"":4,""winners"":17218,""prizeYen"":13300},{""tier"":5,""winners"":298725,""prizeYen"":1000}]"
"loto6","35","2001-05-31","3 5 13 30 32 41","28","","0","[{""tier"":1,""winners"":1,""prizeYen"":282373700},{""tier"":2,""winners"":10,""prizeYen"":21707500},{""tier"":3,""winners"":408,""prizeYen"":638400},{""tier"":4,""winners"":20721,""prizeYen"":11000},{""tier"":5,""winners"":355420,""prizeYen"":1000}]"
"loto6","36","2001-06-07","1 16 20 23 30 40","17","","36788358","[{""tier"":1,""winners"":1,""prizeYen"":200000000},{""tier"":2,""winners"":7,""prizeYen"":30443900},{""tier"":3,""winners"":331,""prizeYen"":772500},{""tier"":4,""winners"":18447,""prizeYen"":12200},{""tier"":5,""winners"":296613,""prizeYen"":1000}]"
"loto6","37","2001-06-14","3 5 9 17 21 41","26","","0","[{""tier"":1,""winners"":3,""prizeYen"":88178700},{""tier"":2,""winners"":13,""prizeYen"":15767000},{""tier"":3,""winners"":656,""prizeYen"":374900},{""tier"":4,""winners"":28424,""prizeYen"":7600},{""tier"":5,""winners"":416971,""prizeYen"":1000}]"
"loto6","38","2001-06-21","2 9 26 27 34 43","42","","246032418","[{""tier"":1,""winners"":0,""prizeYen"":0},{""tier"":2,""winners"":2,""prizeYen"":110713600},{""tier"":3,""winners"":400,""prizeYen"":664200},{""tier"":4,""winners"":20089,""prizeYen"":11600},{""tier"":5,""winners"":317045,""prizeYen"":1000}]"
